Run	Time	Name	X pos	Y pos

0	0.00	Bee03	3.50	0.50
0	0.00	Bee00	7.50	2.50
0	0.00	Bee06	9.50	4.50
0	0.00	Bee07	6.50	3.50
0	0.00	Bee02	3.50	4.50
0	0.00	Bee04	1.50	7.50
0	0.00	Bee05	6.50	6.50
0	0.00	Bee01	7.50	7.50
0	0.00	Bee08	1.50	9.50
0	0.00	Bee09	3.50	5.50
0	1.00	Bee03	3.46	0.51
0	1.00	Bee00	8.22	3.18
0	1.00	Bee06	9.31	3.67
0	1.00	Bee07	6.08	3.12
0	1.00	Bee02	3.78	2.48
0	1.00	Bee04	0.95	6.46
0	1.00	Bee05	6.04	4.51
0	1.00	Bee01	8.64	5.81
0	1.00	Bee08	0.98	8.89
0	1.00	Bee09	2.78	5.17
0	2.00	Bee03	3.07	1.06
0	2.00	Bee00	8.52	3.13
0	2.00	Bee06	9.71	3.23
0	2.00	Bee07	4.81	2.09
0	2.00	Bee02	3.88	1.80
0	2.00	Bee04	1.15	5.90
0	2.00	Bee05	5.95	4.11
0	2.00	Bee01	9.22	4.94
0	2.00	Bee08	1.14	8.32
0	2.00	Bee09	1.27	4.54
0	3.00	Bee03	1.39	2.06
0	3.00	Bee00	9.33	2.42
0	3.00	Bee06	11.29	1.50
0	3.00	Bee07	4.74	1.87
0	3.00	Bee02	4.02	1.63
0	3.00	Bee04	1.15	5.90
0	3.00	Bee05	6.67	3.32
0	3.00	Bee01	10.25	4.63
0	3.00	Bee08	1.49	7.10
0	3.00	Bee09	0.91	4.38
0	4.00	Bee03	0.85	2.38
0	4.00	Bee00	10.75	1.20
0	4.00	Bee06	11.87	0.86
0	4.00	Bee07	4.75	1.65
0	4.00	Bee02	4.21	0.78
0	4.00	Bee04	2.72	5.47
0	4.00	Bee05	7.93	1.94
0	4.00	Bee01	12.03	4.08
0	4.00	Bee08	1.85	6.82
0	4.00	Bee09	0.59	4.59
0	5.00	Bee03	0.82	2.60
0	5.00	Bee00	10.86	0.77
0	5.00	Bee06	12.47	0.81
0	5.00	Bee07	4.89	1.48
0	5.00	Bee02	4.45	0.67
0	5.00	Bee04	4.74	4.91
0	5.00	Bee05	8.85	0.92
0	5.00	Bee01	14.04	3.46
0	5.00	Bee08	3.06	6.72
0	5.00	Bee09	0.59	4.59
0	6.00	Bee03	1.09	3.38
0	6.00	Bee00	10.86	0.77
0	6.00	Bee06	13.41	1.46
0	6.00	Bee07	6.04	0.93
0	6.00	Bee02	4.73	0.70
0	6.00	Bee04	6.64	4.38
0	6.00	Bee05	9.07	0.87
0	6.00	Bee01	15.93	2.88
0	6.00	Bee08	5.02	6.54
0	6.00	Bee09	0.40	4.27
0	7.00	Bee03	2.23	4.19
0	7.00	Bee00	11.17	0.65
0	7.00	Bee06	15.03	2.60
0	7.00	Bee07	6.58	1.00
0	7.00	Bee02	5.00	0.86
0	7.00	Bee04	8.55	3.85
0	7.00	Bee05	9.64	1.01
0	7.00	Bee01	17.82	2.30
0	7.00	Bee08	7.00	6.37
0	7.00	Bee09	0.40	4.27
0	8.00	Bee03	3.85	5.32
0	8.00	Bee00	11.91	1.17
0	8.00	Bee06	16.65	3.73
0	8.00	Bee07	8.45	1.67
0	8.00	Bee02	5.59	1.98
0	8.00	Bee04	10.45	3.32
0	8.00	Bee05	10.85	2.28
0	8.00	Bee01	19.71	1.72
0	8.00	Bee08	8.97	6.20
0	8.00	Bee09	0.40	4.27
0	9.00	Bee03	5.43	6.43
0	9.00	Bee00	13.36	2.45
0	9.00	Bee06	18.24	4.84
0	9.00	Bee07	9.69	2.12
0	9.00	Bee02	6.49	3.69
0	9.00	Bee04	10.67	3.33
0	9.00	Bee05	11.04	2.38
0	9.00	Bee01	21.56	1.15
0	9.00	Bee08	10.90	6.03
0	9.00	Bee09	0.40	4.27
0	10.00	Bee03	7.08	7.59
0	10.00	Bee00	14.87	3.78
0	10.00	Bee06	19.89	5.99
0	10.00	Bee07	9.69	2.12
0	10.00	Bee02	7.42	5.47
0	10.00	Bee04	11.74	3.94
0	10.00	Bee05	12.27	2.41
